model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,panama,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,panama,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,3888.0003,3888.0003,4237.20035,4341.5993,4719.5998,4989.599,5439.599700000001,5211.1801,5123.7077,4712.399149999999,4712.399149999999,4709.367220354301,4768.704077307193,4828.040934260086,4887.377791212978,4946.71464816587,5006.051505118763,5065.388362071655,5124.725219024547,5184.06207597744,5243.398932930332,5302.735789883225,5362.072646836117,5421.409503789009,5480.746360741901,5540.083217694794,5599.420074647686,5658.756931600579,5718.093788553471,5777.430645506363,5836.767502459255,5896.104359412148,5955.44121636504,6014.778073317933,6074.114930270825,6133.4517872237175,6192.7886441766095,6252.125501129503,6311.4623580823945,6370.799215035288,6430.13607198818
PD22,baseline,panama,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,370.8,504.0,630.0,745.2,720.0,723.6,745.2,626.4,601.2,636.48,636.48,636.0704925454173,644.0848227223033,652.0991528991893,660.1134830760753,668.1278132529613,676.1421434298475,684.1564736067335,692.1708037836195,700.1851339605055,708.1994641373915,716.2137943142775,724.2281244911635,732.2424546680495,740.2567848449355,748.2711150218215,756.2854451987076,764.2997753755936,772.3141055524796,780.3284357293657,788.3427659062517,796.3570960831377,804.3714262600237,812.3857564369098,820.4000866137958,828.4144167906818,836.4287469675678,844.4430771444538,852.4574073213398,860.4717374982258,868.4860676751118
PD22,baseline,panama,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,panama,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,panama,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,15098.4,14752.8,19396.8,18554.4,18122.4,22525.2,23482.8,26112.6,28278.72,18346.68,18346.68,18334.875854972903,18565.89073551852,18796.90561606413,19027.920496609742,19258.935377155354,19489.95025770097,19720.965138246574,19951.980018792183,20182.9948993378,20414.00977988341,20645.024660429022,20876.039540974634,21107.054421520246,21338.06930206586,21569.08418261147,21800.09906315708,22031.11394370269,22262.128824248302,22493.14370479392,22724.15858533953,22955.173465885146,23186.188346430758,23417.20322697637,23648.218107521978,23879.232988067582,24110.2478686132,24341.26274915881,24572.277629704426,24803.292510250038,25034.30739079565
PD22,baseline,panama,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,15098.40025,14752.80055,19396.7998,18554.39935,18122.40025,22525.20085,23482.7991,26112.59925,28278.7195,18346.6795,18346.6795,18334.875355294604,18565.890229544395,18796.905103794183,19027.91997804397,19258.93485229376,19489.949726543557,19720.96460079334,19951.97947504313,20182.99434929292,20414.00922354271,20645.0240977925,20876.03897204229,21107.05384629208,21338.06872054187,21569.083594791657,21800.098469041448,22031.11334329124,22262.128217541027,22493.14309179081,22724.15796604061,22955.172840290397,23186.187714540185,23417.202588789973,23648.217463039764,23879.232337289555,24110.247211539343,24341.26208578913,24572.27696003892,24803.291834288717,25034.3067085385
PD22,baseline,panama,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,panama,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,panama,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
