model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,sudan,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,sudan,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,4255.1999,5173.200849999999,5255.999949999999,6386.3991,12448.8004,14562.0001,14648.3995,15330.62985,15976.002,16557.372349999998,16557.372349999998,17096.355231930334,17668.250398045653,18240.14556416097,18812.040730276287,19383.9358963916,19955.83106250692,20527.72622862224,21099.621394737555,21671.516560852877,22243.41172696819,22815.306893083507,23387.202059198826,23959.09722531414,24530.99239142946,25102.88755754477,25674.782723660093,26246.67788977541,26818.573055890727,27390.46822200604,27962.36338812136,28534.25855423668,29106.153720352,29678.048886467317,30249.94405258263,30821.839218697947,31393.734384813262,31965.629550928585,32537.5247170439,33109.419883159215,33681.31504927453
PD22,baseline,sudan,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,1047.6,1180.8,1317.6,1436.4,1587.6,1821.6,2016.0,2171.5,2271.21,2357.96,2357.96,2434.7173531241183,2516.161793545444,2597.6062339667687,2679.050674388094,2760.49511480942,2841.939555230745,2923.38399565207,3004.828436073396,3086.2728764947205,3167.717316916046,3249.1617573373715,3330.606197758697,3412.050638180022,3493.495078601348,3574.9395190226724,3656.383959443998,3737.8283998653233,3819.2728402866487,3900.717280707974,3982.161721129299,4063.6061615506246,4145.05060197195,4226.495042393275,4307.9394828146005,4389.383923235926,4470.8283636572505,4552.272804078577,4633.717244499901,4715.161684921227,4796.606125342552
PD22,baseline,sudan,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,sudan,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,22327.2,23281.2,23828.4,29934.0,32086.8,30312.0,28983.6,33649.200000000004,34765.200000000004,36280.0152,36280.0152,37461.01824418004,38714.13769338239,39967.25714258475,41220.3765917871,42473.49604098945,43726.6154901918,44979.73493939416,46232.854388596505,47485.97383779885,48739.0932870012,49992.21273620356,51245.33218540591,52498.45163460827,53751.57108381062,55004.69053301297,56257.80998221532,57510.92943141767,58764.04888062002,60017.16832982237,61270.28777902473,62523.40722822708,63776.52667742943,65029.64612663178,66282.76557583413,67535.88502503649,68789.00447423884,70042.12392344119,71295.24337264354,72548.36282184589,73801.48227104824
PD22,baseline,sudan,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,22327.1998,23281.1998,23828.4009,29933.99985,32086.801,30312.0004,28983.60015,33649.1993,34765.19925,36280.0202,36280.0202,37461.02340694224,38714.14302884566,39967.26265074908,41220.38227265249,42473.50189455591,43726.62151645932,44979.74113836274,46232.86076026615,47485.98038216957,48739.100004072985,49992.2196259764,51245.33924787982,52498.45886978324,53751.57849168665,55004.698113590064,56257.817735493474,57510.93735739689,58764.05697930031,60017.176601203726,61270.29622310714,62523.41584501056,63776.53546691398,65029.65508881739,66282.77471072081,67535.89433262422,68789.01395452763,70042.13357643105,71295.25319833447,72548.37282023788,73801.4924421413
PD22,baseline,sudan,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,sudan,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,sudan,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,sudan,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,sudan,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,sudan,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,sudan,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
