model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,vietnam,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,baseline,vietnam,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,34549.20075,35773.199949999995,38574.0008,41407.2004,46357.2,45855.0,49132.8007,50842.7997,55450.7999,55724.3994,56473.2,58854.785100289206,60987.31745595123,63119.84981161327,65252.3821672753,67384.91452293732,69517.44687859935,71649.97923426138,73782.51158992341,75915.04394558544,78047.57630124746,80180.1086569095,82312.64101257153,84445.17336823356,86577.70572389559,88710.23807955762,90842.77043521966,92975.30279088167,95107.83514654372,97240.36750220574,99372.89985786776,101505.4322135298,103637.96456919184,105770.49692485384,107903.02928051588,110035.56163617792,112168.09399183994,114300.62634750197,116433.158703164,118565.69105882604,120698.22341448806
PD22,baseline,vietnam,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,10854.0,10965.6,10544.4,7286.4,12056.4,27266.4,25657.2,25754.4,42361.2,48312.0,34552.8,36009.95903567131,37314.736593499074,38619.51415132684,39924.29170915461,41229.06926698237,42533.84682481013,43838.6243826379,45143.40194046567,46448.17949829343,47752.9570561212,49057.73461394896,50362.512171776725,51667.28972960448,52972.06728743225,54276.84484526001,55581.62240308778,56886.39996091554,58191.17751874331,59495.955076571074,60800.73263439884,62105.51019222661,63410.28775005437,64715.06530788213,66019.8428657099,67324.62042353766,68629.39798136543,69934.1755391932,71238.95309702096,72543.73065484872,73848.50821267649
PD22,baseline,vietnam,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,vietnam,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,vietnam,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,99180.0,147326.4,190062.0,187038.0,215427.6,203934.6,230187.6,309384.0,299091.60000000003,238021.2,262411.2,273477.59262639645,283386.72429395025,293295.85596150404,303204.98762905784,313114.11929661164,323023.2509641655,332932.3826317193,342841.5142992731,352750.6459668269,362659.7776343807,372568.9093019345,382478.0409694883,392387.1726370421,402296.3043045959,412205.4359721497,422114.5676397035,432023.6993072573,441932.8309748111,451841.9626423649,461751.0943099187,471660.2259774725,481569.3576450263,491478.48931258015,501387.62098013394,511296.7526476877,521205.8843152416,531115.0159827953,541024.1476503492,550933.279317903,560842.4109854568
PD22,baseline,vietnam,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,99179.99995,147326.3998,190062.0004,187038.0004,215427.5994,203934.5999,230187.6006,309384.00025000004,299091.5992,238021.20015,262411.2,273477.59262639645,283386.72429395025,293295.85596150404,303204.98762905784,313114.11929661164,323023.2509641655,332932.3826317193,342841.5142992731,352750.6459668269,362659.7776343807,372568.9093019345,382478.0409694883,392387.1726370421,402296.3043045959,412205.4359721497,422114.5676397035,432023.6993072573,441932.8309748111,451841.9626423649,461751.0943099187,471660.2259774725,481569.3576450263,491478.48931258015,501387.62098013394,511296.7526476877,521205.8843152416,531115.0159827953,541024.1476503492,550933.279317903,560842.4109854568
PD22,baseline,vietnam,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,75.672,75.672,464.7240000000001,469.26,469.26,469.26,2406.816,2779.8840000000005,2897.117135627738,3002.090690782877,3107.064245938016,3212.0378010931545,3317.011356248293,3421.984911403432,3526.9584665585708,3631.932021713709,3736.905576868848,3841.879132023987,3946.8526871791255,4051.826242334264,4156.799797489403,4261.773352644542,4366.746907799681,4471.72046295482,4576.694018109958,4681.6675732650965,4786.641128420235,4891.614683575374,4996.588238730513,5101.561793885652,5206.535349040791,5311.508904195929,5416.482459351068,5521.456014506207,5626.429569661345,5731.403124816485,5836.376679971623,5941.350235126762
PD22,baseline,vietnam,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,146.628,146.628,146.628,172.548,172.548,171.432,286.092,496.584,647.964,3216.3840000000005,3710.916,3867.412572781865,4007.543616164282,4147.674659546699,4287.805702929116,4427.936746311533,4568.067789693951,4708.198833076367,4848.329876458784,4988.460919841201,5128.591963223618,5268.723006606035,5408.854049988452,5548.985093370869,5689.116136753286,5829.247180135703,5969.378223518121,6109.509266900537,6249.640310282954,6389.771353665371,6529.902397047788,6670.033440430205,6810.164483812622,6950.29552719504,7090.426570577456,7230.557613959872,7370.688657342291,7510.819700724707,7650.950744107124,7791.081787489541,7931.212830871958
PD22,baseline,vietnam,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,ROOFTOP,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,19.008000000000003,19.008000000000003,19.008000000000003,19.008000000000003,19.008000000000003,19.008000000000003,19.008000000000003,19.008000000000003,19.008000000000003,4162.752,8272.800000000001,8621.680127523721,8934.076337972587,9246.47254842145,9558.868758870316,9871.26496931918,10183.661179768043,10496.057390216907,10808.453600665776,11120.849811114638,11433.246021563504,11745.642232012367,12058.038442461231,12370.4346529101,12682.830863358962,12995.227073807826,13307.623284256691,13620.019494705555,13932.41570515442,14244.811915603284,14557.20812605215,14869.604336501015,15182.00054694988,15494.396757398745,15806.792967847608,16119.189178296474,16431.585388745338,16743.9815991942,17056.37780964307,17368.774020091932,17681.170230540796
