model,scenario,region,sector,product_long,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,oman,Electric Power,Offshore wind energy,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,oman,Electric Power,Onshore wind energy,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,oman,Electric Power,Rooftop solar photovoltaics,% Adoption,0.0012109078579847,0.0010971508820178,0.0009593154325073,0.0009146048678319,0.0008239257038728,0.0029302812825841,0.0028044459816963,0.0103334432571438,0.0099938515441873,0.0103082808839716,0.0802366483119086,0.0802366483119086,0.0802366483119086,0.0802366483119086,0.0802366483119086,0.0802366483119086,0.0802366483119086,0.0802366483119086,0.0802366483119086,0.0802366483119086,0.0802366483119086,0.0802366483119086,0.0802366483119086,0.0802366483119087,0.0802366483119087,0.0802366483119086,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087,0.0802366483119087
PD22,baseline,oman,Electric Power,Utility solar photovoltaics,% Adoption,0.0030272696449618,0.0027428772050446,0.0023982885812684,0.0022865121695799,0.0020598142596821,0.0073257032064602,0.0070111149542407,0.0258336081428595,0.0249846288604684,0.025770702209929,0.2005916207797717,0.2005916207797717,0.2005916207797717,0.2005916207797717,0.2005916207797717,0.2005916207797717,0.2005916207797717,0.2005916207797717,0.2005916207797717,0.2005916207797717,0.2005916207797717,0.2005916207797718,0.2005916207797717,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797719,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797717,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718,0.2005916207797718
PD22,pathway,oman,Electric Power,Offshore wind energy,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917554523072529,0.1315178503997402,0.1850454579553816,0.2567974405963678,0.352605631628944,0.4557529068159272,0.5884542176110026,0.7587888094616373,0.9768218639127128,1.2549897529312055,1.631306302381853,2.115958439719336,2.737390296309925,3.530433952157703,4.537982423505238,5.921417450754758,7.616171916059569,9.653507016197212,12.04372556382485,14.782581948379589,17.942862406614427,19.34955239773203,19.35393369636542,19.35442430649034,19.35220506916169,19.3482769651479,19.343435577570677,19.338270452406498,19.333185706410823,19.328433136059537,19.324148959829248,19.320387882699684,19.317151237853995,19.31440835012187,19.31211167930284,19.310206909825528,19.30863925481644,19.3073570927935,19.30631381939414,19.305468562364,19.304786211818517,19.30423706791468,19.30379630021184,19.303443338637447,19.3031612664257,19.30293625336958,19.302757047653717,19.30261453239688,19.30250134603977,19.30241156197852
PD22,pathway,oman,Electric Power,Onshore wind energy,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0821341193837992,0.117727094730686,0.165641881250208,0.2298700634461254,0.3156319577242427,0.4079633712946557,0.5267498306184232,0.6792234041277418,0.8743938542055463,1.123393494345496,1.460250080210047,1.8940823540066396,2.450351840066084,3.1602381810744777,4.062136698816095,5.300506897323193,6.817552065532444,8.641255400121995,10.780839376961064,13.23250357355636,16.061401975950595,17.32058865926136,17.32451054178673,17.324949707302867,17.32296317572236,17.31944696653905,17.31511323927542,17.31048972104082,17.305938153541085,17.301683930268275,17.297848986043046,17.29448228956666,17.291585034226795,17.289129761403423,17.287073915886975,17.285368877551765,17.28396560438999,17.282817887867285,17.281884010481498,17.281127385778795,17.280516585442072,17.28002502390734,17.279630474415015,17.27931452383813,17.279062029276428,17.278860610736718,17.278700196251354,17.27857262492099,17.278471307107896,17.278390937662586
PD22,pathway,oman,Electric Power,Rooftop solar photovoltaics,% Adoption,0.0012109078579847,0.0010971508820178,0.0009593154325073,0.0009146048678319,0.0008239257038728,0.0029302812825841,0.0028044459816963,0.0103334432571438,0.0099938515441873,0.0103082808839716,0.0802366483119086,0.206618014296275,0.2693861689058333,0.3500718734475858,0.4549029395003407,0.5919412310454759,0.7325368459399489,0.9133663297019304,1.1453705393601914,1.442167447189877,1.8205719588399836,2.333762797902757,2.993909039584577,3.839479933085349,4.9176256574528825,6.286507375967619,8.167641454160671,10.469938904643374,13.236402828614684,16.48195271717095,20.20230867514228,24.498833420535263,26.405281973641564,26.404852361694253,26.404943290065013,26.405393055249043,26.40606281920364,26.40684201054697,26.407649246101343,26.408429609786012,26.409149858707263,26.409793040572527,26.410353527398765,26.410832955106944,26.41123718068329,26.41157415703172,26.41185254154629,26.412080846054423,26.41226696261648,26.41241793698933,26.412539897045846,26.41263807240552,26.4127168632439,26.412779931640117,26.41283029929938,26.4128704423864,26.412902378612102,26.41292774444181,26.41294786191392,26.412963795469285,26.41297639965863
PD22,pathway,oman,Electric Power,Utility solar photovoltaics,% Adoption,0.0030272696449618,0.0027428772050447,0.0023982885812684,0.0022865121695799,0.0020598142596821,0.0073257032064602,0.0070111149542407,0.0258336081428595,0.0249846288604684,0.025770702209929,0.2005916207797717,0.3783408592202775,0.4753895763104133,0.5965151337788281,0.7505794126738016,0.9489658567011326,1.1452290000263303,1.3976250754769268,1.721362045367386,2.135357855851165,2.662961865827066,3.379957721419063,4.301493418165715,5.481007309185389,6.9840434698359015,8.891558479551001,11.514719924943488,14.722973604104228,18.57682283583752,23.098020275456303,28.282134670604407,34.272995476595185,36.92457696936504,36.9167034001536,36.915682696141786,36.91943869986691,36.92621324910941,36.93460917260693,36.943590580451335,36.95244653026207,36.96073307496493,36.96820901355518,36.97477630033488,36.98043077281227,36.98522470779142,36.98924024777847,36.992571671076426,36.99531429473913,36.997558056722745,36.99938423313503,37.000864154811374,37.00205913033391,37.00302104493407,37.003793293733054,37.00441183822505,37.00490626191147,37.0053007572816,37.00561501165312,37.00586498076822,37.00606355138305,37.00622110070027
PD22,pathway,oman,Transportation,Domestic aviation – Long-range,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013338368929699,0.003798810551567,0.0081260273107441,0.0154680986042863,0.0276224357831912,0.0473603856585761,0.078901577730275,0.1285766013358634,0.2057120474846474,0.3237335479775622,0.5013880809800635,0.7638032093591075,1.1428094231471253,1.6756044002394892,2.4006494305392985,3.3500895790029106,4.539436972489754,5.957603864010582,7.562177015479089,9.283871022234775,11.03977201182496,12.75007194092493,14.35150068226616,15.803492306284609,17.087390912391797,18.201566917967984,19.1554620645866,19.964437807118063,20.646096300235207,21.218006474312727,21.69648564673004,22.096068419929114,22.42937674804839,22.70720031122893,22.938672061632083,23.131474901609774,23.29204669995072,23.425768646033724,23.53713147169562,23.62987885074234,23.70712947530392,23.771480150822704,23.825092430786796,23.86976518882306,23.90699528216216,23.938028185248285,23.96390020552835,23.9854736514151,24.00346610988112
PD22,pathway,oman,Transportation,Domestic aviation – Short-range,% Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013338368929699,0.003798810551567,0.0081260273107441,0.0154680986042863,0.0276224357831912,0.0473603856585761,0.078901577730275,0.1285766013358634,0.2057120474846474,0.3237335479775622,0.5013880809800635,0.7638032093591075,1.1428094231471253,1.6756044002394892,2.4006494305392985,3.3500895790029106,4.539436972489754,5.957603864010582,7.562177015479089,9.283871022234775,11.03977201182496,12.75007194092493,14.35150068226616,15.803492306284609,17.087390912391797,18.201566917967984,19.1554620645866,19.964437807118063,20.646096300235207,21.218006474312727,21.69648564673004,22.096068419929114,22.42937674804839,22.70720031122893,22.938672061632083,23.131474901609774,23.29204669995072,23.425768646033724,23.53713147169562,23.62987885074234,23.70712947530392,23.771480150822704,23.825092430786796,23.86976518882306,23.90699528216216,23.938028185248285,23.96390020552835,23.9854736514151,24.00346610988112
