Region,Sector,Technology,a,b,c,d
EUR ,Electricity,Biomass and waste,-0.201,40.438,0.05,0.0
EUR ,Electricity,Fossil fuels,-0.11,25.0,0.65,0.0
EUR ,Electricity,Geothermal,0.047,19.999,0.051,0.0
EUR ,Electricity,Hydroelectricity,0.11,5.481,0.225,0.0
EUR ,Electricity,Nuclear,-0.1,39.6,0.31,0.0
EUR ,Electricity,Solar,0.157,44.087,0.388,0.0
EUR ,Electricity,Tide and wave,2.351,68.113,0.0,0.0
EUR ,Electricity,Wind,0.232,32.599,0.39,0.0
EUR ,Heat,Bioenergy,-0.1,2.589,0.174,0.0
EUR ,Heat,Coal,-0.192,20.0,0.21,0.0
EUR ,Heat,Geothermal,0.036,14.998,0.05,0.0
EUR ,Heat,Natural gas,-0.183,20.0,0.444,0.0
EUR ,Heat,Nuclear,-0.02,45.16,0.004,0.0
EUR ,Heat,Oil,-0.196,49.91,0.032,0.0
EUR ,Heat,Other sources,-0.0,22.338,0.042,0.0
EUR ,Heat,Solar thermal,0.2,60.0,0.75,0.0
EUR ,Heat,Waste,0.09,25.222,0.15,0.0
EUR ,Transport,Oil,-0.197,23.0,0.95,0.0
EUR ,Transport,Bioenergy,0.1,57.05,1.0,0.0
EUR ,Transport,Other fuels,-0.05,10.0,0.05,0.0
