Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,11673610.7815517,,,,,,,,,,,,,,,,,,17492394.8553212,,,,,18149168.4818824,,,,,18541688.683492,,,,,,,,,,19029502.934142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19029502.934142
AGO,7949569.14051601,,,,,,,,,,,,,,,,,,12451973.9598215,,,,,13266128.5462107,,,,,13976746.126275,,,,,,,,,,15032519.958131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15032519.958131
ALB,1729463.41368568,,,,,,,,,,,,,,,,,,1862228.14106688,,,,,1868509.14657923,,,,,1871619.25220336,,,,,,,,,,1875606.62357373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875606.62357373
ARG,86101747.9433506,,,,,,,,,,,,,,,,,,95622043.5035593,,,,,97612546.7785503,,,,,99441242.5922418,,,,,,,,,,102330870.196459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102330870.196459
ARM,1598839.25421557,,,,,,,,,,,,,,,,,,1723889.8848509,,,,,1730251.02761108,,,,,1729439.90584019,,,,,,,,,,1701083.9826587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1701083.9826587
AUS,54109956.9946854,,,,,,,,,,,,,,,,,,52384298.0424504,,,,,51848505.2368792,,,,,51286909.0765171,,,,,,,,,,50203687.1881137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50203687.1881137
AUT,5002690.83021148,,,,,,,,,,,,,,,,,,5098302.96742115,,,,,5033505.63373714,,,,,4972209.24405373,,,,,,,,,,4860640.83163376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4860640.83163376
AZE,7075663.23306417,,,,,,,,,,,,,,,,,,6626577.6484647,,,,,6415073.58286032,,,,,6196224.02890139,,,,,,,,,,5759048.540656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5759048.540656
BEL,6811684.87953721,,,,,,,,,,,,,,,,,,6888517.08957224,,,,,6757922.6068051,,,,,6640281.92427788,,,,,,,,,,6429709.67714377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6429709.67714377
BEN,3134652.30891196,,,,,,,,,,,,,,,,,,5312063.20561821,,,,,5871104.54264754,,,,,6433107.24804157,,,,,,,,,,7486910.13165777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7486910.13165777
BFA,13335983.8489957,,,,,,,,,,,,,,,,,,18253448.1599133,,,,,19090929.9459848,,,,,19608739.1178809,,,,,,,,,,19734110.4964871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19734110.4964871
BGD,90097288.1057903,,,,,,,,,,,,,,,,,,93817902.4793259,,,,,93313326.5467903,,,,,92808111.2422814,,,,,,,,,,91646547.8727537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91646547.8727537
BGR,3382489.80444439,,,,,,,,,,,,,,,,,,3736789.66229314,,,,,3794522.47128019,,,,,3852609.2676197,,,,,,,,,,3964846.49783636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3964846.49783636
BIH,1358121.16188533,,,,,,,,,,,,,,,,,,1498228.64324467,,,,,1515167.36959937,,,,,1529212.47739132,,,,,,,,,,1546211.21855789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546211.21855789
BLR,9219349.00989262,,,,,,,,,,,,,,,,,,10678311.2666091,,,,,10778823.4023726,,,,,10810193.9515372,,,,,,,,,,10838023.8547141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10838023.8547141
BOL,17106443.9286144,,,,,,,,,,,,,,,,,,28324973.1194734,,,,,30861968.0099896,,,,,33308448.0766994,,,,,,,,,,37860891.4826118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37860891.4826118
BRA,353784645.275141,,,,,,,,,,,,,,,,,,396137712.858316,,,,,408994908.779432,,,,,417418933.758924,,,,,,,,,,420578625.694913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420578625.694913
BWA,2622895.92999297,,,,,,,,,,,,,,,,,,4391048.54395155,,,,,4758032.98776792,,,,,5094117.38373101,,,,,,,,,,5629057.85994506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5629057.85994506
CAF,4977238.42470709,,,,,,,,,,,,,,,,,,9664761.97329673,,,,,10805093.8757207,,,,,11911777.0445945,,,,,,,,,,13870100.3780464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13870100.3780464
CAN,42817268.810228,,,,,,,,,,,,,,,,,,49842981.3702816,,,,,50164743.7493989,,,,,50178970.4061664,,,,,,,,,,49527648.0873891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49527648.0873891
CHL,10565272.2919125,,,,,,,,,,,,,,,,,,10324528.9926534,,,,,10090229.2338352,,,,,9858061.32019314,,,,,,,,,,9395015.75479132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9395015.75479132
CHN,643958733.498362,,,,,,,,,,,,,,,,,,712460765.154624,,,,,701775923.403516,,,,,690455336.284033,,,,,,,,,,669510770.728038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669510770.728038
CIV,4038254.32796385,,,,,,,,,,,,,,,,,,7549253.67215344,,,,,8364211.00961824,,,,,9031659.30216122,,,,,,,,,,9720336.66732642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9720336.66732642
CMR,9332970.09649976,,,,,,,,,,,,,,,,,,17579464.799487,,,,,19581430.7352066,,,,,21442303.1716878,,,,,,,,,,24242419.758344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24242419.758344
COG,542476.604535222,,,,,,,,,,,,,,,,,,868784.761633327,,,,,935629.026848274,,,,,996979.997038888,,,,,,,,,,1096014.74969289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096014.74969289
COL,44267037.1620475,,,,,,,,,,,,,,,,,,73857467.8187117,,,,,78788436.1720718,,,,,82433450.5943842,,,,,,,,,,85643538.8586158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85643538.8586158
CRI,3416184.73731476,,,,,,,,,,,,,,,,,,4052870.81385138,,,,,4121627.06887375,,,,,4158567.45018043,,,,,,,,,,4162352.47005141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4162352.47005141
CUB,7422268.87796289,,,,,,,,,,,,,,,,,,7202217.12488752,,,,,7047479.12892604,,,,,6897501.57631989,,,,,,,,,,6596650.95227516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6596650.95227516
